,time,windgusts_10m
0,2022-05-03T00:00,4.3
1,2022-05-03T01:00,5.4
2,2022-05-03T02:00,5.7
3,2022-05-03T03:00,5.6
4,2022-05-03T04:00,4.7
5,2022-05-03T05:00,4.2
6,2022-05-03T06:00,4.4
7,2022-05-03T07:00,4.8
8,2022-05-03T08:00,4.9
9,2022-05-03T09:00,5.0
10,2022-05-03T10:00,5.1
11,2022-05-03T11:00,7.0
12,2022-05-03T12:00,7.2
13,2022-05-03T13:00,6.1
14,2022-05-03T14:00,3.8
15,2022-05-03T15:00,2.7
16,2022-05-03T16:00,8.1
17,2022-05-03T17:00,8.8
18,2022-05-03T18:00,7.7
19,2022-05-03T19:00,6.2
20,2022-05-03T20:00,6.2
21,2022-05-03T21:00,4.4
22,2022-05-03T22:00,5.1
23,2022-05-03T23:00,5.8
24,2022-05-04T00:00,4.8
25,2022-05-04T01:00,2.5
26,2022-05-04T02:00,2.8
27,2022-05-04T03:00,3.4
28,2022-05-04T04:00,2.9
29,2022-05-04T05:00,2.4
30,2022-05-04T06:00,3.3
31,2022-05-04T07:00,3.7
32,2022-05-04T08:00,5.5
33,2022-05-04T09:00,6.9
34,2022-05-04T10:00,7.2
35,2022-05-04T11:00,9.5
36,2022-05-04T12:00,10.6
37,2022-05-04T13:00,11.0
38,2022-05-04T14:00,12.2
39,2022-05-04T15:00,12.9
40,2022-05-04T16:00,12.5
41,2022-05-04T17:00,14.7
42,2022-05-04T18:00,14.5
43,2022-05-04T19:00,12.4
44,2022-05-04T20:00,10.2
45,2022-05-04T21:00,9.3
46,2022-05-04T22:00,7.8
47,2022-05-04T23:00,8.4
